"Player","CD #","BOSS HEALTH / SPELL","COUNT / HEALTH %","PLAYER/CLASS/ALL","TIME","COOLDOWN SPELL","","NPC NAME","ADDITIONAL TEXT","OVERRIDE TTS","CUSTOM NAME","CUSTOM ICON"
"","1","Health % (IMM)","","","","","","Immerseus","","","",""
"","2","Health % (IMM)","","","","","","","","","",""
"","3","Health % (IMM)","","","","","","","","","",""
"","4","Health % (IMM)","","","","","","","","","",""
"","5","Health % (IMM)","","","","","","","","","",""
"","6","Health % (IMM)","","","","","","","","","",""
"","7","Health % (IMM)","","","","","","","","","",""
"","8","Health % (IMM)","","","","","","","","","",""
"","9","Health % (IMM)","","","","","","","","","",""
"","10","Health % (IMM)","","","","","","","","","",""
"","11","Health % (IMM)","","","","","","","","","",""
"","12","Health % (IMM)","","","","","","","","","",""
"","13","Health % (IMM)","","","","","","","","","",""
"","14","Health % (IMM)","","","","","","","","","",""
"","15","Health % (IMM)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (FAL)","","","","","","The Fallen Protectors","","","",""
"","2","Health % (FAL)","","","","","","","","","",""
"","3","Health % (FAL)","","","","","","","","","",""
"","4","Health % (FAL)","","","","","","","","","",""
"","5","Health % (FAL)","","","","","","","","","",""
"","6","Health % (FAL)","","","","","","","","","",""
"","7","Health % (FAL)","","","","","","","","","",""
"","8","Health % (FAL)","","","","","","","","","",""
"","9","Health % (FAL)","","","","","","","","","",""
"","10","Health % (FAL)","","","","","","","","","",""
"","11","Health % (FAL)","","","","","","","","","",""
"","12","Health % (FAL)","","","","","","","","","",""
"","13","Health % (FAL)","","","","","","","","","",""
"","14","Health % (FAL)","","","","","","","","","",""
"","15","Health % (FAL)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (NOR)","","","","","","Norushen","","","",""
"","2","Health % (NOR)","","","","","","","","","",""
"","3","Health % (NOR)","","","","","","","","","",""
"","4","Health % (NOR)","","","","","","","","","",""
"","5","Health % (NOR)","","","","","","","","","",""
"","6","Health % (NOR)","","","","","","","","","",""
"","7","Health % (NOR)","","","","","","","","","",""
"","8","Health % (NOR)","","","","","","","","","",""
"","9","Health % (NOR)","","","","","","","","","",""
"","10","Health % (NOR)","","","","","","","","","",""
"","11","Health % (NOR)","","","","","","","","","",""
"","12","Health % (NOR)","","","","","","","","","",""
"","13","Health % (NOR)","","","","","","","","","",""
"","14","Health % (NOR)","","","","","","","","","",""
"","15","Health % (NOR)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (SHA)","","","","","","Sha of Pride","","","",""
"","2","Health % (SHA)","","","","","","","","","",""
"","3","Health % (SHA)","","","","","","","","","",""
"","4","Health % (SHA)","","","","","","","","","",""
"","5","Health % (SHA)","","","","","","","","","",""
"","6","Health % (SHA)","","","","","","","","","",""
"","7","Health % (SHA)","","","","","","","","","",""
"","8","Health % (SHA)","","","","","","","","","",""
"","9","Health % (SHA)","","","","","","","","","",""
"","10","Health % (SHA)","","","","","","","","","",""
"","11","Health % (SHA)","","","","","","","","","",""
"","12","Health % (SHA)","","","","","","","","","",""
"","13","Health % (SHA)","","","","","","","","","",""
"","14","Health % (SHA)","","","","","","","","","",""
"","15","Health % (SHA)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (GAL)","","","","","","Galakras","","","",""
"","2","Health % (GAL)","","","","","","","","","",""
"","3","Health % (GAL)","","","","","","","","","",""
"","4","Health % (GAL)","","","","","","","","","",""
"","5","Health % (GAL)","","","","","","","","","",""
"","6","Health % (GAL)","","","","","","","","","",""
"","7","Health % (GAL)","","","","","","","","","",""
"","8","Health % (GAL)","","","","","","","","","",""
"","9","Health % (GAL)","","","","","","","","","",""
"","10","Health % (GAL)","","","","","","","","","",""
"","11","Health % (GAL)","","","","","","","","","",""
"","12","Health % (GAL)","","","","","","","","","",""
"","13","Health % (GAL)","","","","","","","","","",""
"","14","Health % (GAL)","","","","","","","","","",""
"","15","Health % (GAL)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (JUG)","","","","","","Iron Juggernaut","","","",""
"","2","Health % (JUG)","","","","","","","","","",""
"","3","Health % (JUG)","","","","","","","","","",""
"","4","Health % (JUG)","","","","","","","","","",""
"","5","Health % (JUG)","","","","","","","","","",""
"","6","Health % (JUG)","","","","","","","","","",""
"","7","Health % (JUG)","","","","","","","","","",""
"","8","Health % (JUG)","","","","","","","","","",""
"","9","Health % (JUG)","","","","","","","","","",""
"","10","Health % (JUG)","","","","","","","","","",""
"","11","Health % (JUG)","","","","","","","","","",""
"","12","Health % (JUG)","","","","","","","","","",""
"","13","Health % (JUG)","","","","","","","","","",""
"","14","Health % (JUG)","","","","","","","","","",""
"","15","Health % (JUG)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (KOR)","","","","","","Kor'kron Dark Shaman","","","",""
"","2","Health % (KOR)","","","","","","","","","",""
"","3","Health % (KOR)","","","","","","","","","",""
"","4","Health % (KOR)","","","","","","","","","",""
"","5","Health % (KOR)","","","","","","","","","",""
"","6","Health % (KOR)","","","","","","","","","",""
"","7","Health % (KOR)","","","","","","","","","",""
"","8","Health % (KOR)","","","","","","","","","",""
"","9","Health % (KOR)","","","","","","","","","",""
"","10","Health % (KOR)","","","","","","","","","",""
"","11","Health % (KOR)","","","","","","","","","",""
"","12","Health % (KOR)","","","","","","","","","",""
"","13","Health % (KOR)","","","","","","","","","",""
"","14","Health % (KOR)","","","","","","","","","",""
"","15","Health % (KOR)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (NAZ)","","","","","","General Nazgrim","","","",""
"","2","Health % (NAZ)","","","","","","","","","",""
"","3","Health % (NAZ)","","","","","","","","","",""
"","4","Health % (NAZ)","","","","","","","","","",""
"","5","Health % (NAZ)","","","","","","","","","",""
"","6","Health % (NAZ)","","","","","","","","","",""
"","7","Health % (NAZ)","","","","","","","","","",""
"","8","Health % (NAZ)","","","","","","","","","",""
"","9","Health % (NAZ)","","","","","","","","","",""
"","10","Health % (NAZ)","","","","","","","","","",""
"","11","Health % (NAZ)","","","","","","","","","",""
"","12","Health % (NAZ)","","","","","","","","","",""
"","13","Health % (NAZ)","","","","","","","","","",""
"","14","Health % (NAZ)","","","","","","","","","",""
"","15","Health % (NAZ)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (MAL)","","","","","","Malkorok","","","",""
"","2","Health % (MAL)","","","","","","","","","",""
"","3","Health % (MAL)","","","","","","","","","",""
"","4","Health % (MAL)","","","","","","","","","",""
"","5","Health % (MAL)","","","","","","","","","",""
"","6","Health % (MAL)","","","","","","","","","",""
"","7","Health % (MAL)","","","","","","","","","",""
"","8","Health % (MAL)","","","","","","","","","",""
"","9","Health % (MAL)","","","","","","","","","",""
"","10","Health % (MAL)","","","","","","","","","",""
"","11","Health % (MAL)","","","","","","","","","",""
"","12","Health % (MAL)","","","","","","","","","",""
"","13","Health % (MAL)","","","","","","","","","",""
"","14","Health % (MAL)","","","","","","","","","",""
"","15","Health % (MAL)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (SPO)","","","","","","Spoils of Pandaria","","","",""
"","2","Health % (SPO)","","","","","","","","","",""
"","3","Health % (SPO)","","","","","","","","","",""
"","4","Health % (SPO)","","","","","","","","","",""
"","5","Health % (SPO)","","","","","","","","","",""
"","6","Health % (SPO)","","","","","","","","","",""
"","7","Health % (SPO)","","","","","","","","","",""
"","8","Health % (SPO)","","","","","","","","","",""
"","9","Health % (SPO)","","","","","","","","","",""
"","10","Health % (SPO)","","","","","","","","","",""
"","11","Health % (SPO)","","","","","","","","","",""
"","12","Health % (SPO)","","","","","","","","","",""
"","13","Health % (SPO)","","","","","","","","","",""
"","14","Health % (SPO)","","","","","","","","","",""
